/home/first/Desktop/yolov8/hornet_model2_ncnn_model/transfer_process.py:141: DeprecationWarning: Callback API version 1 is deprecated, update to latest version
  self._client = mqtt.Client(client_id=f"{self._cfg.client_id}-transfer")
2026-03-23 18:49:36,926 WARNING transfer iot-ingest IotIngestUploader: 上传失败: <urlopen error [Errno 111] Connection refused>
2026-03-23 18:49:38,927 WARNING transfer iot-ingest IotIngestUploader: 上传失败: <urlopen error [Errno 111] Connection refused>
2026-03-23 18:49:40,932 WARNING transfer iot-ingest IotIngestUploader: 上传失败: <urlopen error [Errno 111] Connection refused>
2026-03-23 18:49:42,937 WARNING transfer iot-ingest IotIngestUploader: 上传失败: <urlopen error [Errno 111] Connection refused>
2026-03-23 18:49:44,938 WARNING transfer iot-ingest IotIngestUploader: 上传失败: <urlopen error [Errno 111] Connection refused>
2026-03-23 18:49:46,939 WARNING transfer iot-ingest IotIngestUploader: 上传失败: <urlopen error [Errno 111] Connection refused>
2026-03-23 18:49:48,940 WARNING transfer iot-ingest IotIngestUploader: 上传失败: <urlopen error [Errno 111] Connection refused>
2026-03-23 18:49:50,944 WARNING transfer iot-ingest IotIngestUploader: 上传失败: <urlopen error [Errno 111] Connection refused>
2026-03-23 18:49:52,945 WARNING transfer iot-ingest IotIngestUploader: 上传失败: <urlopen error [Errno 111] Connection refused>
2026-03-23 18:49:54,946 WARNING transfer iot-ingest IotIngestUploader: 上传失败: <urlopen error [Errno 111] Connection refused>
2026-03-23 18:49:56,947 WARNING transfer iot-ingest IotIngestUploader: 上传失败: <urlopen error [Errno 111] Connection refused>
2026-03-23 18:49:58,948 WARNING transfer iot-ingest IotIngestUploader: 上传失败: <urlopen error [Errno 111] Connection refused>
2026-03-23 18:50:00,949 WARNING transfer iot-ingest IotIngestUploader: 上传失败: <urlopen error [Errno 111] Connection refused>
2026-03-23 18:50:02,952 WARNING transfer iot-ingest IotIngestUploader: 上传失败: <urlopen error [Errno 111] Connection refused>
2026-03-23 18:50:04,953 WARNING transfer iot-ingest IotIngestUploader: 上传失败: <urlopen error [Errno 111] Connection refused>
2026-03-23 18:50:06,954 WARNING transfer iot-ingest IotIngestUploader: 上传失败: <urlopen error [Errno 111] Connection refused>
2026-03-23 18:50:08,955 WARNING transfer iot-ingest IotIngestUploader: 上传失败: <urlopen error [Errno 111] Connection refused>
2026-03-23 18:50:10,956 WARNING transfer iot-ingest IotIngestUploader: 上传失败: <urlopen error [Errno 111] Connection refused>
2026-03-23 18:50:12,960 WARNING transfer iot-ingest IotIngestUploader: 上传失败: <urlopen error [Errno 111] Connection refused>
2026-03-23 18:50:14,965 WARNING transfer iot-ingest IotIngestUploader: 上传失败: <urlopen error [Errno 111] Connection refused>
2026-03-23 18:50:16,966 WARNING transfer iot-ingest IotIngestUploader: 上传失败: <urlopen error [Errno 111] Connection refused>
